SYMBOL,DESCRIPTION,cik
INFY,INFOSYS LTD ADS,CIK0001067491
INTI,INHIBITOR THERAPEATICS INC,CIK0001042418
IIIN,INSTEEL INDUSTRIES INC,CIK0000764401
IPHA,INNATE PHARMA S A SPONSORED AD,CIK0001598599
INSE,INSPIRED ENTMT INC COM,CIK0001615063
IGXT,INTELGENX TECHNOLOGIES CORP CO,CIK0001098880
ITGR,INTEGER HLDGS CORP COM (DE),CIK0001114483
IBKR,"INTERACTIVE BROKERS GROUP, INC",CIK0001381197
ILHMF,INTERNATIONAL LITHIUM CORP. OR,CIK0001522142
VBF,INVESCO BD FD,CIK0000005094
IHTA,INVESCO HIGH INCOME 2024,CIK0001698508
DBA,INVESCO DB MULTI SECTOR COMDT ,CIK0001383082
DBO,INVESCO DB MULTI-SECTOR CMDTY ,CIK0001383058
IOVA,IOVANCE BIOTHERAPEUTICS INC CO,CIK0001425205
IPW,IPOWER INC,CIK0001830072
IRDM,IRIDIUM COMM INC COM STK (NY) ,CIK0001418819
ITP,IT TECH PACKAGING INC COM NEW ,CIK0001358190
MOND,MONDEE HLDGS INC CL A,CIK0001828852
ITRI,ITRON INC,CIK0000780571
ISEE,IVERIC BIO INC COM (DE),CIK0001410939
JBGS,JBG SMITH PPTYS COM SHS (MD),CIK0001689796
JD,JD COM INC SPON ADS REPSTG COM,CIK0001549802
JBLU,JETBLUE AIRWAYS CORPORATION,CIK0001158463
KB,KB FINL GROUP INC SPONSORED AD,CIK0001445930
KALU,KAISER ALUMINUM CORP NEW,CIK0000811596
KBH,KB HOME,CIK0000795266
KTCC,KEY TRONIC CORP,CIK0000719733
KTOS,KRATOS DEFENSE & SECURITY SOLU,CIK0001069258
KYMR,KYMERA THERAPEUTICS INC COM,CIK0001815442
LKQ,LKQ CORP,CIK0001065696
LE,LANDS END INC NEW,CIK0000799288
LTRX,LANTRONIX INC COMMON STOCK,CIK0001114925
LEA,LEAR CORPORATION COMMON STOCK ,CIK0000842162
LC,LENDINGCLUB CORP COM NEW (DE) ,CIK0001409970
DRS,LEONARDO DRS INC COM,CIK0001833756
LBRDK,LIBERTY BROADBAND CORP COM SER,CIK0001611983
LIBYW,LIBERTY RES ACQUISITION CORP R,CIK0001880151
LTH,LIFE TIME GROUP HLDGS INC COM ,CIK0001869198
LGSXY,LIGHT S.A. SPONSORED ADR (BRAZ,CIK0001447221
LWLG,"LIGHTWAVE LOGIC, INC",CIK0001325964
LMB,LIMBACH HLDGS INC,CIK0001606163
LCTX,LINEAGE CELL THERAPEUTICS INC ,CIK0000876343
LIXT,LIXTE BIOTECHNOLOGY HLDGS INC ,CIK0001335105
LMT,LOCKHEED MARTIN CORP,CIK0000936468
LONCF,LONCOR GOLD INC (CANADA),CIK0001472619
LUMN,"LUMEN TECHNOLOGIES, INC. COM (",CIK0000018926
MFV,MFS SPECIAL VALUE TRUST SBI,CIK0000856128
MRC,MRC GLOBAL INC,CIK0001439095
MPTI,M-TRON INDS INC COM,CIK0001902314
MVBF,MVB FINANCIAL COPORATION,CIK0001277902
MTSI,MACOM TECHNOLOGY SOLUTIONS,CIK0001493594
MX,MAGNACHIP SEMICONDUCTOR CORP N,CIK0001325702
MLFB,MAJOR LEAGUE FOOTBALL INC,CIK0001308569
MMMB,"MAMAMANCINIS HOLDINGS, INC. CO",CIK0001520358
MQ,MARQETA INC CLA A (DE),CIK0001522540
MCFT,MASTERCRAFT BOAT HLDGS INC COM,CIK0001638290
MTRN,MATERION CORPORATION COM STK (,CIK0001104657
MXROF,MAX RES CORP COM NO PAR (CAN) ,CIK0001116548
MMS,MAXIMUS INC.,CIK0001032220
MLCO,MELCO RESORTS & ENTMT LTD,CIK0001381640
MEI,METHODE ELECTRONICS INC COMMON,CIK0000065270
MXC,MEXCO ENERGY CORP,CIK0000066418
MXE,MEXICO EQUITY & INCOME FD INC ,CIK0000863900
MXF,MEXICO FUND INC,CIK0000065433
MILC,MILLENNIUM SUSTAINABLE VENTURE,CIK0001358656
MINDP,MIND TECHNOLOGY INC,CIK0000926423
MTX,MINERALS TECHNOLOGIES INC,CIK0000891014
MINM,MINIM INC,CIK0001467761
MCW,MISTER CAR WASH INC COM (DE),CIK0001853513
MODV,MODIVCARE INC. COM,CIK0001220754
MNTV,MOMENTIVE GLOBAL INC COM (DE) ,CIK0001739936
MCRI,MONARCH CASINO & RESORT INC,CIK0000907242
CAF,MORGAN STANLEY CHINA A SH FD I,CIK0001368493
MLI,MUELLER INDS INC,CIK0000089439
MUR,MURPHY OIL CORPORATION,CIK0000717423
NGL,NGL ENERGY PARTNERS LP,CIK0001504461
NGM,NGM BIOPHARMACEUTICALS INC COM,CIK0001426332
NH,NANTHEALTH INC COM NEW,CIK0001566469
NPK,NATIONAL PRESTO INDS INC,CIK0000080172
NRC,NATIONAL RESH CORP COM STK (DE,CIK0000070487
NSA,NATIONAL STORAGE AFFILIATES TR,CIK0001618563
SHMP,NATURALSHRIMP INC,CIK0001465470
NLS,"NAUTILUS,",CIK0001078207
NRDS,NERDWALLET INC CL A,CIK0001625278
NRO,NEUBERGER BERMAN REAL ESTATE S,CIK0001261166
NJR,NEW JERSEY RESOURCES CORP,CIK0000356309
NMFC,NEW MTN FIN CORP COM (DE),CIK0001496099
NYC,AMERICAN STRATEGIC INVESTMENT ,CIK0001595527
NYMTZ,NEW YORK MTG TR INC PFD SER G ,CIK0001273685
NYMTL,NEW YORK MTG TR INC REDEEMABLE,CIK0001273685
NR,NEWPARK RESOURCES INC,CIK0000071829
NEWTL,NEWTEKONE INC 05.750% SR NOTES,CIK0001587987
NXTC,NEXTCURE INC COM (DE),CIK0001661059
NCRA,NOCERA INC COM PAR $0.001,CIK0001756180
NSYS,NORTECH SYS INC,CIK0000722313
NRT,NORTH EUROPEAN OIL UBI,CIK0000072633
NECB,NORTHEAST CMNTY BANCORP INC MD,CIK0001847398
NMG,NOUVEAU MONDE GRAPHITE INC,CIK0001649752
NG,NOVAGOLD RESOURCES INC(NEW)(BR,CIK0001173420
NIM,NUVEEN SELCT MATURTIES MUNI FD,CIK0000890119
NXP,NUVEEN SELCT TX FR INCM PT SBI,CIK0000883618
NNY,NUVEEN N Y MUNI VALUE FUND,CIK0000818850
NKX,NUVEEN CALIF AMT FREE QUALITY ,CIK0001195738
NEA,NUVEEN AMT-FREE QUALITY,CIK0001195737
NKG,NUVEEN GA QUALITY MUN INCOME F,CIK0001177219
NMAI,NUVEEN MULTI-ASSET INCOME FD C,CIK0001861115
NTRB,NUTRIBAND INC COM NEW,CIK0001676047
OI,O-I GLASS INC COM (DE),CIK0000812074
OCSL,OAKTREE SPECIALTY LENDING CORP,CIK0001414932
OII,OCEANEERING INTL INC,CIK0000073756
OLLI,OLLIES BARGAIN OUTLET HLDGS IN,CIK0001639300
OPAL,OPAL FUELS INC COM CL A,CIK0001842279
OPRA,OPERA LTD SPONSORED ADS (CYM) ,CIK0001737450
OPK,"OPKO HEALTH, INC",CIK0000944809
OGEN,ORAGENICS INC COM PAR $0.001 N,CIK0001174940
OPTN,OPTINOSE INC COM,CIK0001494650
ORIC,ORIC PHARMACEUTICALS INC COM,CIK0001796280
OGN,ORGANON & CO,CIK0001821825
OCLN,ORIGINCLEAR INC COM PAR $0.001,CIK0001419793
ORN,ORION GROUP HLDGS INC COM(DE) ,CIK0001402829
ORA,ORMAT TECHNOLOGIES INC,CIK0001296445
ORRCF,OROCO RESOURCE CORP ORDINARY S,CIK0001390352
OSI,OSIRIS ACQUISITION CORP CL A (,CIK0001832136
OB,OUTBRAIN INC,CIK0001454938
OVV,OVINTIV INC COM (DE),CIK0001792580
OXLCL,OXFORD LANE CAP CORP (MD) DTD ,CIK0001495222
PHX,PHX MINERALS INC CL A,CIK0000315131
PBF,PBF ENERGY INC CL A COM STK (D,CIK0001534504
PDCE,PDC ENERGY INC,CIK0000077877
PBMLF,PACIFIC BOOKER MINERALS INC.,CIK0001319150
PAASF,PAN AMERN SILVER CORP,CIK0000771992
PTNYF,PARCELPAL LOGISTICS INC COM (C,CIK0001819074
PKE,PARK AEROSPACE CORP COM,CIK0000076267
KTTA,PASITHEA THERAPEUTICS CORP COM,CIK0001841330
PENN,PENN ENTMT INC COM,CIK0000921738
ROCC,RANGER OIL CORPORATION CL A CO,CIK0000077159
PNNT,PENNANT INVESTMENT CORP COM,CIK0001383414
PEN,PENUMBRA INC COM STK (DE),CIK0001321732
PSNL,PERSONALIS INC COM,CIK0001527753
PETQ,PETIQ INC COM CL A,CIK0001668673
PHIO,PHIO PHARMACEUTICALS CORP COM ,CIK0001533040
PZC,PIMCO CALIFORNIA MUNICIPAL INC,CIK0001181504
PFN,PIMCO INCOME STRATEGY FUND II ,CIK0001296250
MIO,PIONEER MUN HIGH INCOME OPPORT,CIK0001864290
POET,POET TECHNOLOGIES INC COM NEW ,CIK0001437424
POOL,POOL CORPORATION COM STK,CIK0000945841
BPOP,POPULAR INC COM NEW (PR),CIK0000763901
XPDB,POWER & DIGITAL INFRASTRUCTURE,CIK0001855474
POWI,POWER INTAGRATIONS INC,CIK0000833640
PRPO,PRECIPIO INC COM NEW (DE),CIK0001043961
PDS,PRECISION DRILLING CORP COM NE,CIK0001013605
PNRG,PRIMEENERGY RESOURCES CORPORAT,CIK0000056868
PRMW,PRIMO WTR CORP CDA COM (CAN),CIK0000884713
PFG,PRINCIPAL FINANCIAL GROUP,CIK0001126328
PSWW,PRINCIPAL SOLAR INC COM NEW,CIK0001587476
PCOR,PROCORE TECHNOLOGIES INC COM (,CIK0001611052
PRG,PROG HLDGS INC COM (DE),CIK0001808834
PGNY,PROGYNY INC COM,CIK0001551306
PRPH,PROPHASE LABS INC COM STK (DE),CIK0000868278
UGL,PROSHARES ULTRA GOLD,CIK0001415311
PVCT,"PROVECTUS BIOPHARMACEUTICALS, ",CIK0000315545
PROV,PROVIDENT FINL HLDGS INC,CIK0001010470
PMD,PSYCHEMEDICS CORPORATION (NEW),CIK0000806517
PTBRY,PT BK NEGARA INDONESIA PERSERO,CIK0001504122
PHM,"PULTEGROUP,INC COMMON STOCK",CIK0000822416
RCMT,RCM TECHNOLOGIES INC,CIK0000700841
RES,RPC INC,CIK0000742278
RPM,RPM INTERNATIONAL INC. (DELAWA,CIK0000110621
UTG,REEVES UTILITY INCOME FUND,CIK0001263994
RRR,RED ROCK RESORTS INC CL A (DE),CIK0001653653
RRX,REGAL REXNORD CORP. COM,CIK0000082811
RNST,RENASANT CORPORATAION,CIK0000715072
RMSL,REMSLEEP HLDGS INC COM NEW,CIK0001412126
RSLS,RESHAPE LIFESCIENCES INC NEW C,CIK0001427570
RSVR,RESERVOIR MEDIA INC COM (DE),CIK0001824403
RYES,RISE GOLD CORP COM NEW (NV),CIK0001424864
RBNK,RIVERBANK HLDG CO COM (WA),CIK0001535665
RMMZ,RIVERNORTH MANAGED DURATION MU,CIK0001870833
SHEL,ROYAL DUTCH SHELL PLC SPONS. A,CIK0001306965
RUBY,RUBIUS THERAPEUTICS INC COM (D,CIK0001709401
R,RYDER SYSTEM INC,CIK0000085961
SPGI,S&P GLOBAL INC. COM,CIK0000064040
SLG,SL GREEN RLTY CORP COM PAR$ (M,CIK0001040971
SM,SM ENERGY COMPANY CAPITAL STOC,CIK0000893538
SP,SP PLUS,CIK0001059262
SOLCF,SOL GLOBAL INVTS CORP COM(CANA,CIK0001710138
SPXC,SPX TECHNOLOGIES INC COM,CIK0000088205
SASR,SANDY SPRING BANCORP INC,CIK0000824410
SNY,SANOFI-ADR,CIK0001121404
BFS,SAUL CENTERS INC,CIK0000907254
SVREW,SAVERONE 2014 LTD WT PUR ADS E,CIK0001894693
SAMA,SCHULTZE SPL PURP ACQ CORP II ,CIK0001843100
LEDS,SEMILEDS CORP COM NEW (DE),CIK0001333822
SMTC,SEMTECH CORP,CIK0000088941
STTK,SHATTUCK LABS INC COM(DE),CIK0001680367
SCVL,SHOE CARNIVAL INC (IN),CIK0000895447
SHPH,SHUTTLE PHARMACEUTICALS HLDGS ,CIK0001757499
SLN,SILENCE THERAPEUTICS PLC SPONS,CIK0001479615
SLAB,SILICON LABORATORIES INC,CIK0001038074
SILK,SILK RD MED INC COM STK (DE),CIK0001397702
SILEF,SILVER ELEPHANT MNG CORP COM N,CIK0001545224
SSNT,SILVERSUN TECHNOLOGIES INC COM,CIK0001236275
WINR,SIMPLICITY ESPORTS & GAMING CO,CIK0001708410
SGLY,SINGULARITY FUTURE TECHNOLOGY ,CIK0001422892
AOS,SMITH A O CORP,CIK0000091142
SND,SMART SAND INC COM,CIK0001529628
SMRT,SMARTRENT INC,CIK0001837014
SIRC,SOLAR INTEGRATED ROOFING CORP ,CIK0001756704
SPFI,SOUTH PLAINS FINL INC COM (TX),CIK0001163668
SOVO,SOVO BRANDS INC COM (DE),CIK0001856608
SPTN,SPARTANNASH CO COM STK (MI),CIK0000877422
SPE,SPECIAL OPPORTUNITIES FUND INC,CIK0000897802
SBIG,SPRINGBIG HLDGS INC COM,CIK0001801602
CEF,SPROTT PHYSICAL GOLD & SILVER ,CIK0001726122
CXM,SPRINKLR INC CL A (DE),CIK0001569345
SPRB,SPRUCE BIOSCIENCES INC COM (DE,CIK0001683553
SPT,SPROUT SOCIAL INC COM CL A,CIK0001517375
SQSP,SQUARESPACE INC CL A (DE),CIK0001496963
STAF,STAFFING 360 SOLUTIONS INC COM,CIK0001499717
STAG,STAG INDL INC USA,CIK0001479094
SCS,STEELCASE INC CL A,CIK0001050825
STMH,STEM HLDGS INC,CIK0001697834
STXS,STEREOTAXIS INC COM STK NEW (D,CIK0001289340
STRL,STERLING INFRASTRUCTURE INC. C,CIK0000874238
SCAQW,STRATIM CLOUD ACQUISITION CORP,CIK0001821812
SMMF,SUMMIT FINANCIAL GR INC,CIK0000811808
SUMO,SUMO LOGIC INC,CIK0001643269
SNCY,SUN CTRY AIRLS HLDGS INC COM (,CIK0001743907
SURGW,SURGEPAYS INC WT EXP 10/22/202,CIK0001392694
SWZ,SWISS HELVETIA FUND INC,CIK0000813623
TMCWW,TMC THE METALS CO INC WT EXP (,CIK0001798562
TPIC,TPI COMPOSITES INC COM,CIK0001455684
TSRI,TSR INC COM STK,CIK0000098338
TRHC,TABULA RASA HEALTHCARE INC COM,CIK0001651561
TAIPY,TAISHO PHARMACEUTICAL HOLDGS C,CIK0001716957
TALK,TALKSPACE INC,CIK0001803901
TALO,TALOS ENERGY INC COM,CIK0001724965
TLF,"TANDY LEATHER FACTORY, INC",CIK0000909724
TRGP,TARGA RESOURCES CORPORATION CO,CIK0001389170
TTGT,TECHTARGET INC COM STK (DE),CIK0001293282
TECK,TECK RESOURCES LIMITED CLASS B,CIK0000886986
TDS,TELEPHONE & DATA SYS INC (NEW),CIK0001051512
TRSSF,TERRASCEND CORP (CANADA),CIK0001778129
SOYB,TEUCRIUM COMMODITY TR SOYBEAN ,CIK0001471824
TCBI,TEXAS CAPITAL BANCSHARES INC,CIK0001077428
SKIN,THE BEAUTY HEALTH COMPANY CL A,CIK0001818093
TDUP,THREDUP INC CL A,CIK0001484778
TBCP,THUNDER BRDG CAP PARTNERS III ,CIK0001815753
TLLTF,TILT HLDGS INC COM (CAN),CIK0001761510
TIPT,TIPTREE INC COM,CIK0001393726
TR,TOOTSIE ROLL INDUSTRIES INC,CIK0000098677
TTE,TOTALENERGIES SE,CIK0000879764
COOK,TRAEGER INC COM,CIK0001857853
RNAZ,TRANSCODE THERAPEUTICS INC COM,CIK0001829635
TMCI,TREACE MED CONCEPTS INC COM (D,CIK0001630627
THS,"TREEHOUSE FOODS, INC. COM STK ",CIK0001320695
TRMR,TREMOR INTL LTD ADR (ISR),CIK0001849396
TRVI,TREVI THERAPEUTICS INC COM,CIK0001563880
TRS,TRIMAS CORPORATION COM,CIK0000842633
TRIN,TRINITY CAP INC (MD),CIK0001786108
TRT,TRIO-TECH INTL,CIK0000732026
UDMY,UDEMY INC COM (DE),CIK0001607939
CEFD,UBS AG LONDON ETRACS 1.5 QRTY ,CIK0001114446
MVRL,UBS AG LON BRH ETRACS 1.5X MON,CIK0001114446
AMNA,UBS AG LOND BRH ETRACS ALERIAN,CIK0001114446
HDLB,UBS AG LDN BR ETRACS MNTH PAY ,CIK0001114446
USB,U.S.BANCORP (NEW),CIK0000036104
USPH,U.S.PHYSICAL THERAPY INC,CIK0000885978
USRM,U S STEM CELL INC COM STK,CIK0001388319
UI,UBIQUITI INC COM (DE),CIK0001511737
ULBI,ULTRALIFE CORPORATION COM,CIK0000875657
UHT,UNIVERSAL HEALTH RLTY TR SBI,CIK0000798783
UBA,URSTADT BIDDLE PROPS INC CL A ,CIK0001029800
USIO,USIO INC COM,CIK0001088034
VSEC,V S E CORP,CIK0000102752
MTN,VAIL RESORTS INC,CIK0000812011
OUNZ,VANECK MERK GOLD TR GOLD SHS (,CIK0001546652
VVX,V2X INC COM STK (IN),CIK0001601548
VRTX,VERTEX PHARMACEUTICALS INC,CIK0000875320
VWDRY,VESTAS WIND SYSTEMS AS AMER DE,CIK0001330306
DSP,VIANT TECHNOLOGY INC CL A COM ,CIK0001828791
VCTR,VICTORY CAP HLDGS INC CL A (DE,CIK0001570827
VIEWW,VIEW INC WT EXP EXP 08/01/27 (,CIK0001811856
VLGEA,VILLAGE SUPER MARKET CL-A NEW ,CIK0000103595
VRPX,VIRPAX PHARMACEUTICALS INC COM,CIK0001708331
VTSI,VIRTRA INC COMMON STOCK,CIK0001085243
VSH,VISHAY INTERTECHNOLOGY INC,CIK0000103730
VNO,VORNADO REALTY TRUST,CIK0000899689
WBS,WEBSTER FINL CORP WATERBURY CN,CIK0000801337
WFC,WELLS FARGO & CO(NEW),CIK0000072971
WCC,WESCO INTERNATIONAL INC,CIK0000929008
HIX,WESTERN ASSET HIGH INCM FD II ,CIK0001058239
WETG,WETRADE GROUP INC COM,CIK0001784970
WKEY,WISEKEY INTL HLDGS S A SPONSOR,CIK0001738699
WDAY,WORKDAY INC COM STK CL A (DE) ,CIK0001327811
WK,WORKIVA INC COM CL A (CA),CIK0001445305
WKSP,WORKSPORT LTD COM NEW (NV),CIK0001096275
INT,WORLD FUEL SERVICES CORP,CIK0000789460
XTLB,XTL BIOPHARMACEUTICALS LTD. AM,CIK0001023549
XIN,XINYUAN REAL ESTATE CO LTD SPO,CIK0001398453
XPOF,XPONENTIAL FITNESS INC COM CL ,CIK0001802156
YELL,YELLOW CORP NEW COM,CIK0000716006
YTEN,"YIELD10 BIOSCIENCE, INC. COMMO",CIK0001121702
ZDGE,ZEDGE INC CL B (DE),CIK0001667313
ZTEK,ZENTEK LTD COM (CANADA),CIK0001904501
ZION,ZIONS BANCORPORATION N.A. COMM,CIK0000109380
ZIVOW,ZIVO BIOSCIENCE INC WT EXP 05/,CIK0001101026
ZIP,ZIPRECRUITER INC CL A,CIK0001617553
ZI,ZOOMINFO TECHNOLOGIES INC COM(,CIK0001794515
CSTM,CONSTELLIUM SE CL A SHS USD (F,CIK0001563411
ADNT,ADIENT PLC ORD SHS (IRL),CIK0001670541
AGBA,AGBA GROUP HLDG LTD SHS (VGB) ,CIK0001769624
APXI,APX ACQUISITION CORP I CL A (C,CIK0001868573
ARQQW,ARQIT QUANTUM INC WT EXP 11/02,CIK0001859690
BIOSW,BIOPLUS ACQUISITION CORP WT EX,CIK0001856653
BCSAW,BLOCKCHAIN COINVESTORS ACQ.COR,CIK0001873441
BOCN,BLUE OCEAN ACQUISITION CORP CL,CIK0001856961
BON,BON NAT LIFE LTD USD ORD SHS (,CIK0001816815
BROG,BROOGE ENERGY LIMITED ORDINARY,CIK0001774983
BPYPO,BROOKFIELD PPTY PART P,CIK0001545772
RENE,CARTESIAN GROWTH CORP II CL A(,CIK0001889112
BTOG,BIT ORIGIN LIMITED ORDINARY SH,CIK0001735556
CLVT,CLARIVATE PLC,CIK0001764046
COOL,CORNER GROWTH ACQUISITION CORP,CIK0001829953
BAP,CREDICORP LTD (COMM $5.00 PAR),CIK0001001290
CWK,CUSHMAN & WAKEFIELD PLC SH (GB,CIK0001628369
GLTA,GALATA ACQUISITION CORP CL A S,CIK0001852767
RAYA,ERAYAK PWR SOLUTION GROUP INC.,CIK0001825875
FERG,"FERGUSON PLC NEW (JERSEY, C.I.",CIK0001832433
ADOCR,EDOC ACQUISITION CORP USD RTS ,CIK0001824884
HMACU,HAINAN MANASLU ACQUISITION COR,CIK0001894370
HAIAW,HEALTHCARE AI ACQUISITION CORP,CIK0001848861
IVZ,INVESCO LTD (NEW),CIK0000914208
IVCAW,INVESTCORP INDIA ACQ CORP WT E,CIK0001852889
KYCHU,KEYARCH ACQUISITION CORPORATIO,CIK0001865701
LBTYA,LIBERTY GLOBAL PLC SHS CL A,CIK0001570585
MDJH,MDJM LTD SHS (CYM),CIK0001741534
RVLP,RVL PHARMACEUTICALS PLC ORDINA,CIK0001739426
YGMZ,MINGZHU LOGISTICS HLDGS LTD US,CIK0001782037
DECA,DENALI CAP ACQUISITION CORP CL,CIK0001913577
MCAAW,MOUNTAIN & CO I ACQUISITION CO,CIK0001856995
IVCPW,SWIFTMERGE ACQUISITION CORP WT,CIK0001845123
NBLWF,NOBLE CORP PLC WTS 04 02 26 TO,CIK0001458891
MBTC,NOCTURNE ACQUISITION CORP USD ,CIK0001837344
ONYXW,ONYX ACQ.CO. I USD RED WTS (CY,CIK0001849548
RGC,REGENCELL BIOSCIENCE HLDGS LTD,CIK0001829667
ROSS,ROSS ACQUISITION CORP II CL A ,CIK0001841610
SCRM,SCREAMING EAGLE ACQUISITION CO,CIK0001893325
SCRMW,SCREAMING EAGLE ACQUISITION CO,CIK0001893325
LGSTW,SEMPER PARATUS ACQUISITION COR,CIK0001860871
SLNA,SELINA HOSPITALITY PLC SHS (GB,CIK0001909417
SVNA,7 ACQUISITION CORP CL A (CYM) ,CIK0001850699
TLGYW,TLGY ACQUISITION CORP WT EXP (,CIK0001879814
TOACW,TALON 1 ACQUISITION CORP WT EX,CIK0001860482
TANH,TANTECH HLDGS LTD SHS NEW US$0,CIK0001588084
VSTA,VASTA PLATFORM LTD CLASS A (CY,CIK0001792829
OEC,ORION ENGINEERED CARBONS S.A.(,CIK0001609804
BMR,BEAMR IMAGING LTD SHS (ISR),CIK0001899005
BOSC,BOS BETTER ONLINE SOLUTIONS LT,CIK0001005516
ELTK,ELTEK LTD PETACH TIKVA ISRAEL ,CIK0001024672
IINN,INSPIRA TECHNOLOGIES OXY B H N,CIK0001837493
KRNT,KORNIT DIGITAL LTD ORD SHS (IS,CIK0001625791
MTEK,MARIS - TECH LTD SHS (ISR),CIK0001872964
MTEKW,MARIS - TECH LTD WT PUR SHS (I,CIK0001872964
RDWR,RADWARE LTD,CIK0001094366
TBLAW,TABOOLA COM LTD WT EXP (ISR),CIK0001840502
TOMDF,TODOS MED LTD (ISRAEL),CIK0001645260
CNTG,CENTOGENE N V COM SHS USD (NLD,CIK0001757097
STVN,STEVANATO GROUP S P A HS USD (,CIK0001849853
AGNCN,AGNC INVT CORP DEP SHS REPSTG ,CIK0001423689
ARC,ARC DOCUMENT SOLUTIONS INC COM,CIK0001305168
ABIO,ARCA BIOPHARMA INC COM PAR $.0,CIK0000907654
ABST,ABSOLUTE SOFTWARE CORP,CIK0001071058
ACHC,ACADIA HEALTHCARE CO INC COM S,CIK0001520697
ENER,ACCRETION ACQ.CORP COM (DE),CIK0001855555
ENERW,ACCRETION ACQ.CORP WT EXP (DE),CIK0001855555
ACRX,ACELRX PHARMACEUTICALS INC COM,CIK0001427925
ACBM,ACRO BIOMEDICAL CO L,CIK0001622996
ADBE,ADOBE INC COM (DE),CIK0000796343
ARBGW,AEQUI ACQUISITION CORP WT EXP ,CIK0001823826
AGYS,AGILYSYS INC COM (DE),CIK0000078749
AGTK,AGRITEK HLDGS INC COM NEW,CIK0001040850
AGIL,AGILETHOUGHT INC CL A SHS (DE),CIK0001790625
AL,AIR LEASE CORP CL A,CIK0001487712
AKLI,AKILI INC COM (DE),CIK0001850266
AIN,ALBANY INTL CORP CL A,CIK0000819793
AQNA,ALGONQUIN PWR & UTILS CORP,CIK0001174169
ALKT,ALKAMI TECHNOLOGY INC COM,CIK0001529274
ALTR,ALTAIR ENGR INC CL A COM,CIK0001701732
AMMX,AMERAMEX INTL INC COM NEW,CIK0001776048
AFGB,AMERICAN FINL GROUP INC OHIO S,CIK0001042046
AFGD,"AMERICAN FINANCIAL GROUP, INC.",CIK0001042046
AMSF,AMERISAFE INC,CIK0001018979
ANGN,ANGION BIOMEDICA CORP COM,CIK0001601485
ANIX,"ANIXA BIOSCIENCES, INC. COMMON",CIK0000715446
ANPC,ANPAC BIO-MED SCIENCE CO LTD S,CIK0001786511
ANZU,ANZU SPL ACQUISITION CORP I CO,CIK0001840877
APCX,APPTECH PMTS CORP COM PAR$ (DE,CIK0001070050
APYX,APYX MED CORP COM,CIK0000719135
ARES,ARES MGMT CORP COM CL A (DE),CIK0001176948
ARGQ,ARGENTUM 47 INC COM NEW,CIK0001533106
ARRWW,ARROWROOT ACQUISITION CORP WT ,CIK0001835972
ASTI,ASCENT SOLAR TECHNOLOGIES INC ,CIK0001350102
ATRO,ASTRONICS CORP,CIK0000008063
AVAH,AVEANNA HEALTHCARE HLDGS INC,CIK0001832332
AVNW,AVIAT NETWORKS INC COM NEW,CIK0001377789
AVID,AVID TECH INC,CIK0000896841
AVGR,AVINGER INC COM NEW 2022,CIK0001506928
AVT,AVNET INC,CIK0000008858
RILYK,B RILEY FINL INC SR NT,CIK0001464790
RILYL,B RILEY FINL INC DEP SHS REPST,CIK0001464790
BTCS,BTCS INC COM PAR $0.001 NEW (N,CIK0001436229
BKTI,BK TECHNOLOGIES CORP COM,CIK0000002186
BCH,BANCO DE CHILE ADS (REP 200 SH,CIK0001161125
TBBK,THE BANCORP BANK,CIK0001295401
BAND,BANDWIDTH INC CL A,CIK0001514416
GDXU,BANK MONTREAL QUE MICROSECTORS,CIK0000927971
BANT,BANTEC INC COM NEW,CIK0001704795
BDX,BECTON DICKINSON & CO,CIK0000010795
BWACW,BETTER WORLD ACQUISITION CORP ,CIK0001821146
BMRA,BIOMERICA INC,CIK0000073290
BIIB,BIOGEN INC,CIK0000875045
VYBE,LIMITLESS X HLDGS INC COM PAR ,CIK0001803977
BIOL,BIOLASE INC COM PAR $0.001 (DE,CIK0000811240
BMNR,BITMINE IMMERSION TECNOLOGIES ,CIK0001829311
BYM,BLACKROCK MUNI INC QUAL TR COM,CIK0001181187
BFK,BLACKROCK MUNICIPAL INCOME TRU,CIK0001137393
BTZ,BLACKROCK CREDIT ALLOCATION IN,CIK0001379384
MVF,"BLACKROCK MUNIVEST FUND, INC. ",CIK0000835948
MQY,BLACKROCK MUNI YIELD QUALITY F,CIK0000890196
BGB,BLACKSTONE STRATEGIC CREDIT 20,CIK0001546429
BJDX,BLUEJAY DIAGNOSTICS INC COM,CIK0001704287
BCC,BOISE CASCADE CO DEL COM STK (,CIK0001328581
SAM,BOSTON BEER CO INC (THE) CL-A ,CIK0000949870
BRID,BRIDGFORD FOODS CORP,CIK0000014177
BNL,BROADSTONE NET LEASE INC,CIK0001424182
BRCNF,BURCON NUTRASCIENCE CORP COM (,CIK0001158399
CFFSW,CF ACQUISITION CORP VII WT EXP,CIK0001839519
CNFN,CFN ENTERPRISES INC,CIK0001352952
CMSD,CMS ENERGY CORP JR SUB NT 5.87,CIK0000811156
CVV,CVD EQUIPMENT CORP,CIK0000766792
CADE,CADENCE BK COM,CIK0001299939
CDRE,CADRE HLDGS INC COM,CIK0001860543
CLMT,CALUMET SPECIALTY PRODUCTS PAR,CIK0001340122
CANB,CAN B CORP COM NEW,CIK0001509957
CTLP,CANTALOUPE INC COM (PA),CIK0000896429
CGRN,CAPSTONE GREEN ENERGY CORPORAT,CIK0001009759
